:START_ID(Node-ID) length lang :END_ID(Node-ID)
11650991 1 [fr] 621240
11650991 1 [fr] 360450
11650991 1 [fr] 300080
11650991 1 [fr] 230360
11650991 1 [fr] 11660
11650991 1 [fr] 30
11650991 1 [fr] 1337381
11650991 1 [fr] 9137452
11650991 1 [fr] 2868703
11650991 1 [fr] 379523
11650991 1 [fr] 433224
11650991 1 [fr] 230724
11650991 1 [fr] 209054
11650991 1 [fr] 3274845
11650991 1 [fr] 379715
11650991 1 [fr] 173395
11650991 1 [fr] 81235
11650991 1 [fr] 8815
11650991 1 [fr] 2845966
11650991 1 [fr] 2367126
11650991 1 [fr] 968536
11650991 1 [fr] 438556
11650991 1 [fr] 344266
11650991 1 [fr] 128896
11650991 1 [fr] 333307
11650991 1 [fr] 2824688
11650991 1 [fr] 298178
11650991 1 [fr] 21198
11650991 1 [fr] 418
11650991 1 [fr] 2961479
11650991 1 [fr] 300159
2821998 1 [fr] 18510560
2821998 1 [fr] 754940
2821998 1 [fr] 44860
2821998 1 [fr] 15188241
2821998 1 [fr] 1364041
2821998 1 [fr] 1337381
2821998 1 [fr] 1152931
2821998 1 [fr] 1060131
2821998 1 [fr] 42591
2821998 1 [fr] 3312402
2821998 1 [fr] 1144542
2821998 1 [fr] 851872
2821998 1 [fr] 289612
2821998 1 [fr] 221682
2821998 1 [fr] 192902
2821998 1 [fr] 176862
2821998 1 [fr] 626483
2821998 1 [fr] 181233
2821998 1 [fr] 11273
2821998 1 [fr] 2283
2821998 1 [fr] 3332814
2821998 1 [fr] 1072814
2821998 1 [fr] 1047554
2821998 1 [fr] 47604
2821998 1 [fr] 11574
2821998 1 [fr] 3075295
2821998 1 [fr] 1163115
2821998 1 [fr] 192845
2821998 1 [fr] 1990686
2821998 1 [fr] 1846136
2821998 1 [fr] 1426576
2821998 1 [fr] 1914257
2821998 1 [fr] 859477
2821998 1 [fr] 3295108
2821998 1 [fr] 1088528
2821998 1 [fr] 15028
2821998 1 [fr] 215179
2822001 1 [fr] 15277430
2822001 1 [fr] 218170
2822001 1 [fr] 216640
2822001 1 [fr] 11230
2822001 1 [fr] 10680
2822001 1 [fr] 1757981
2822001 1 [fr] 277541
2822001 1 [fr] 243961
2822001 1 [fr] 152361
2822001 1 [fr] 674312
2822001 1 [fr] 204222
2822001 1 [fr] 191012
2822001 1 [fr] 181382
2822001 1 [fr] 79872
2822001 1 [fr] 42332
2822001 1 [fr] 19652
2822001 1 [fr] 11182
2822001 1 [fr] 82
2822001 1 [fr] 13743633
2822001 1 [fr] 845753
2822001 1 [fr] 535473
2822001 1 [fr] 223433
2822001 1 [fr] 170963
2822001 1 [fr] 163393
2822001 1 [fr] 2283
2822001 1 [fr] 617804
2822001 1 [fr] 3574385
2822001 1 [fr] 3359815
2822001 1 [fr] 1541645
2822001 1 [fr] 1076355
2822001 1 [fr] 857815
2822001 1 [fr] 173395
2822001 1 [fr] 170325
2822001 1 [fr] 28865
2822001 1 [fr] 3398726
2822001 1 [fr] 658476
2822001 1 [fr] 305896
2822001 1 [fr] 273326
2822001 1 [fr] 3403197
2822001 1 [fr] 206047
2822001 1 [fr] 170397
2822001 1 [fr] 161157
2822001 1 [fr] 43747
2822001 1 [fr] 10677
2822001 1 [fr] 3391268
2822001 1 [fr] 305928
2822001 1 [fr] 284518
2822001 1 [fr] 3400889
